timestamp,tweet_text,username,all_hashtags,followers_count
2021-11-23 14:06:08+00:00,Netflix produzirá futuros filmes e séries de Power Rangers  #PowerRangers #Netflix   https://t.co/Mv6J1n70eJ via @boraassistir,boraassistir,"['PowerRangers', 'Netflix']",185
2021-11-23 14:00:01+00:00,"👑 Por essa, nem Betinha esperava! Os atores da quinta temporada de 'The Crown', Dominic West (príncipe Charles) é pai na vida real de Sean West (príncipe William).  #thecrown #netflix  https://t.co/EhyDVPBvk1",MetroJornal,"['thecrown', 'netflix']",119765
2021-11-23 13:51:44+00:00,Cowboy Bebop | Produtor despista sobre vilão da 2ª temporada  https://t.co/eJlI4skcgb  #CowboyBebop #Netflix https://t.co/2X5GZsPAgc,ovicio,"['CowboyBebop', 'Netflix']",5571
2021-11-23 13:49:43+00:00,#Netflix planeja série derivada focada na #Eleven com o término de 'Stranger Things' https://t.co/giuOpgzbUd,barrysworldnews,"['Netflix', 'Eleven']",15
2021-11-23 13:49:42+00:00,"Pessoal, como dificilmente se acha algo bom pra gente assistir nas plataformas de streaming como #Netflix e outras, segue aqui uma dica de uma série muito boa, que pelo conteúdo e produção deveria ser muito mais conhecida e assistida pelos #cristãos #conservadores... continua&gt;&gt;",Davaro7,"['Netflix', 'cristãos', 'conservadores']",587
2021-11-23 13:49:20+00:00,🚨💥🚨Atenção🚨💥🚨 Crítica de #ProfeciadoInferno da #Netflix  https://t.co/PIH1y6kcbj Xiaomi Maraisa Tinder Matrix Joinville,CarolNerdChyc,"['ProfeciadoInferno', 'Netflix']",79
2021-11-23 13:28:47+00:00,"E mais um dia eu chorando horrores com esse dorama Porq fizeste isso Dal-Mi Jo-Pyeong que sempre foi o seu grande amor  Que desgraça, não consigo superar  #Startup #ApostandoAlto #Netflix",lliben281,"['Startup', 'ApostandoAlto', 'Netflix']",861
2021-11-23 13:22:45+00:00,"🎁 https://t.co/yjxZc986LN 🎁 . ✅ Personagem: Patrick ⚠️ Temos mais de 130 modelos diferentes, corre lá! 🏃🏻🏃🏼‍♀️💨 . #funkopop #funko #brinquedos #cinema #rodanaipoptv #bob #bobesponja #patrick #netflix https://t.co/WooJBq5I66",RoGambini,"['funkopop', 'funko', 'brinquedos', 'cinema', 'rodanaipoptv', 'bob', 'bobesponja', 'patrick', 'netflix']",247
2021-11-23 13:18:03+00:00,"Incrível,absolutamente sensível! Andrew Garfield entregou um espetáculo nesse filme!Até o último homem mostrou o quão ele é um ator sensacional e Tick Tick Boom veio para confirmar.O Oscar tem que vir!Elenco de extrema qualidade, atuação e canções também!Sem palavras! #Netflix https://t.co/SKGLLQG8xQ",mavarjao,['Netflix'],21
2021-11-23 13:15:28+00:00,"Nota: apreciação de arte sem pressão de hype é melhor.  Terminei de ver O Gambito da Rainha... no início da madrugada. Maratonei, como dizem, mas por causa do envolvimento. Chorei com uma sequência. Obra no formato adequado. Ótimas horas curtindo um somatório muito bom.  #Netflix https://t.co/uG1ABk12oY",senhorfantasia,['Netflix'],199
2021-11-23 13:12:11+00:00,Só vim aqui comentar que a segunda parte de #mestresdouniverso é simplesmente maravilhoso e o final me deixou muito animado pra uma continuação #Netflix,Joao_victtor0,"['mestresdouniverso', 'Netflix']",93
2021-11-23 13:11:03+00:00,Arcade está no meu top 5 #Netflix,HerculesAlcant1,['Netflix'],700
2021-11-23 12:30:38+00:00,"Arcane – Série animada, baseada em League of Legends, terá 2º temporada #Arcane #ArcaneSeason2 #LeagueOfLegends #lol #Netflix #Animation #Noticias   https://t.co/b4WLTBsffV via @gqcanimes",gqcanimes,"['Arcane', 'ArcaneSeason2', 'LeagueOfLegends', 'lol', 'Netflix', 'Animation', 'Noticias']",145
2021-11-23 12:12:00+00:00,"Cancelamento, sociedade do espetáculo, religião, violência... sangue... são tantas camadas em #ProfeciadoInferno que a gente só pode recomendar! #Netflix https://t.co/6dnkNwGmJ5",vigilianerd,"['ProfeciadoInferno', 'Netflix']",1345
2021-11-23 12:03:40+00:00,Eu assisti Arcane S01|E08 Água e óleo #tvtime #Netflix #Arcane https://t.co/sK4t4A1OxE https://t.co/BOdS7kiY6s,Valdir_Souza,"['tvtime', 'Netflix', 'Arcane']",124
2021-11-23 12:02:25+00:00,sobre dinastia: não aguento ver a fallon colocando o liam em segundo lugar #Netflix #dinastia,ttanax,"['Netflix', 'dinastia']",111
2021-11-23 12:00:43+00:00,Eu queria assistir um remake dos Gremlins.  #Netflix #fazacontecer #HBO,DboraFelix29,"['Netflix', 'fazacontecer', 'HBO']",22
2021-11-23 11:51:37+00:00,Avatar | Paul Sun-Hyung Lee exalta elenco da série live-action  https://t.co/VzqvGbROeA  #Netflix #AvatarTheLastAirbender #avatar https://t.co/gEucQZsCzR,ovicio,"['Netflix', 'AvatarTheLastAirbender', 'avatar']",5571
2021-11-23 11:45:29+00:00,1 semana pra estrear #jojo bizarre adventure #StoneOcean na #Netflix e já to ansioso igual uma capivara https://t.co/3BogX5s78o,VChucre,"['jojo', 'StoneOcean', 'Netflix']",15
2021-11-23 11:35:11+00:00,Comecei a ver arcane e só tenho uma palavra para descrever está série. FANTÁSTICO #Arcane  #Netflix  #LeagueOfLegends,xira_oficial,"['Arcane', 'Netflix', 'LeagueOfLegends']",5
2021-11-23 11:03:37+00:00,Conheça Lulli  Novo filme da Netflix estrelado por Larissa Manoela  #Lulli #Netflix #JNerd  https://t.co/jQV0rBywU9,hospicionerd,"['Lulli', 'Netflix', 'JNerd']",5719
2021-11-23 11:02:03+00:00,Power Rangers: Netflix adquire direitos do universo cinematográfico e planeja novas produções  - @netflix  https://t.co/oGb3roaEFW  #PowerRangers #Netflix,filipesalomao88,"['PowerRangers', 'Netflix']",277
2021-11-23 10:52:18+00:00,"Depois do grande sucesso de sua primeira temporada estreado na #Netflix, a série animada da Riot Games, Arcane, cujo é baseada nos personagens de Siga @xnerdbrasil  Acessar o link na bio. #xnerdbrasil #arcane #occult #tarot #art #illustration #magic #gaming #witch #gothic #gamer https://t.co/4sMdFayieF",xnerdbrasil,"['Netflix', 'xnerdbrasil', 'arcane', 'occult', 'tarot', 'art', 'illustration', 'magic', 'gaming', 'witch', 'gothic', 'gamer']",33
2021-11-23 10:50:44+00:00,Vocês passam pano pra Love? 👀  ~Dani  -  -  -  #bomdia #boomdiaa #lovequinn #you #voce #vacinas #covid #joegoldberg #vacinação #serieoriginal #netflix #netflixshows #victoriapedretti #netflixoriginalseries #psicopata https://t.co/2QujBpkv8w,OMAgias,"['bomdia', 'boomdiaa', 'lovequinn', 'you', 'voce', 'vacinas', 'covid', 'joegoldberg', 'vacinação', 'serieoriginal', 'netflix', 'netflixshows', 'victoriapedretti', 'netflixoriginalseries', 'psicopata']",22
2021-11-23 10:40:06+00:00,"Fiz essa arte de um dos vilões que eu mais gosto na minha vida, uma arte inspirada na capa de primeiro Doom. #MastersOfUniverse #Doom #Netflix https://t.co/gsgGsacKSF",OLuanKenobi,"['MastersOfUniverse', 'Doom', 'Netflix']",127
